"f [Hz]","Vo [V]","Vac [mV]","dt [seg]","Io","phi","abs(Z)","Z'","Z''"
"5","2","0.354","0.001039","0.0236","0.032641147670798","84.745762711864","84.700620765807","2.7657077760657"
"10","2","0.358","1.04E-3","0.023866666666667","0.065282295341596","83.798882681564","83.620379969105","5.4666985010229"
"15","2","0.358","1.32E-3","0.023866666666667","0.12403007796373","83.798882681564","83.155150162904","10.366954232726"
"20","2","0.358","4.94E-3","0.023866666666667","0.62087923931426","83.798882681564","68.159268702495","48.750044396079"
"25","2","0.362","1.41E-3","0.024133333333333","0.22123095466579","82.872928176796","80.853155739927","18.184868201101"
"30","2","0.362","9.47E-3","0.024133333333333","1.7843178130888","82.872928176796","-17.560999114531","80.990947239156"
"35","2","0.362","8.54E-3","0.024133333333333","1.8786158581789","82.872928176796","-25.108954096916","78.977608527704"
"40","2","0.362","8.54E-3","0.024133333333333","2.1469895522045","82.872928176796","-45.152133884456","69.492496215609"
"45","2","0.366","9.47E-3","0.0244","2.6764767196332","81.967213114754","-73.259800997577","36.764460877251"
"50","2","0.366","6.70E-3","0.0244","2.103453361211","81.967213114754","-41.624923122877","70.611541555288"
"55","2","0.366","9.47E-3","0.0244","3.2712493239961","81.967213114754","-81.279208402553","10.59784446262"
"60","2","0.37","6.70E-3","0.024666666666667","2.5241440334533","81.081081081081","-66.110128173838","46.94243988243"
"65","2","0.37","7.80E-3","0.024666666666667","3.1871268975109","81.081081081081","-80.997040169329","3.6906900553785"
"70","2","0.374","7.80E-3","0.024933333333333","3.4322905050118","80.213903743316","-76.848456419618","22.990978658246"
"75","2","0.374","5.77E-3","0.024933333333333","2.719990919478","80.213903743316","-73.189944824285","32.825330620726"
"80","2","0.379","8.17E-3","0.025266666666667","4.1082984122112","79.155672823219","-44.961517011221","65.146623305787"
"85","2","0.379","8.73E-3","0.025266666666667","4.6609956661646","79.155672823219","-4.0662817874135","79.05115996949"
"90","2","0.383","7.06E-3","0.025533333333333","3.9951068289024","78.328981723238","-51.488690213844","59.028333517575"
"95","2","0.387","7.80E-3","0.0258","4.658108542516","77.519379844961","-4.2057199061787","77.405207651799"
"100","2","0.387","0.007619","0.0258","4.7871588855401","77.519379844961","5.790717619003","77.302793228992"
"105","2","0.391","7.06E-3","0.026066666666667","4.6609579670528","76.726342710997","-3.9443741084751","76.624888767931"
"110","2","0.395","6.33E-3","0.026333333333333","4.3722864428924","75.949367088608","-25.335475297731","71.599022707004"
"115","2","0.395","6.88E-3","0.026333333333333","4.9714007283026","75.949367088608","19.452561235574","73.415967081666"
"120","2","0.399","7.71E-3","0.0266","5.8142586213342","75.187969924812","67.071719084042","33.97963096512"
"125","2","0.403","6.97E-3","0.026866666666667","5.476267234105","74.441687344913","51.493351492016","53.758716194469"
"130","2","0.403","6.33E-3","0.026866666666667","5.1672476143273","74.441687344913","32.704862962412","66.87269063951"
"135","2","0.407","6.23E-3","0.027133333333333","5.287696276666","73.710073710074","40.105109017885","61.844605237709"
"140","2","0.412","6.23E-3","0.027466666666667","5.4835368795055","72.815533980583","50.749432196634","52.216827944607"
"145","2","0.416","6.60E-3","0.027733333333333","6.0159237369534","72.115384615385","69.555123108551","19.045039973156"
"150","2","0.42","6.70E-3","0.028","6.3103600836331","71.428571428571","71.402199177436","1.9408165684111"
"155","2","0.42","6.33E-3","0.028","6.1609490786211","71.428571428571","70.895603560228","8.7094323671285"
"160","2","0.424","6.79E-3","0.028266666666667","6.8239413674567","70.754716981132","60.659414041682","36.423419158557"
"165","2","0.428","5.82E-3","0.028533333333333","6.0318767444483","70.093457943925","67.89167163438","17.430254422305"
"170","2","0.428","4.89E-3","0.028533333333333","5.2282322109188","70.093457943925","34.574897049589","60.972693400793"
"175","2","0.432","4.71E-3","0.0288","5.1789154894428","69.444444444444","31.235187858884","62.023333541642"
"180","2","0.436","5.26E-3","0.029066666666667","5.9535568395943","68.807339449541","65.102936058738","22.272352337736"
"185","2","0.44","6.37E-3","0.029333333333333","7.407093220594","68.181818181818","29.465564578429","61.486102776586"
"190","2","0.444","5.26E-3","0.0296","6.2843099973496","67.567567567568","67.567524833519","0.075992563032113"
"195","2","0.449","5.45E-3","0.029933333333333","6.6759849198432","66.815144766147","61.726573918133","25.575254494344"
"200","2","0.453","5.26E-3","0.0302","6.6150631551048","66.225165562914","62.611402141545","21.577415871812"
